id;livro_id;livro_nome;capitulo;versao;versiculos_json;cacheado_em
1;nougat inspection;across;13795;OEB_CW;../fake-data/blob/hipster.txt;2026-02-09T09:43:29
2;while;likewise phooey;11816;WEBBE;../fake-data/blob/hipster.txt;2026-02-09T10:41:36
3;pant;instead oh;16039;ASV;../fake-data/blob/hipster.txt;2026-02-09T11:40:42
4;thoughtfully;politely extremely;30106;ASV;../fake-data/blob/hipster.txt;2026-02-09T06:18:02
5;continually yuck kindheartedly;ew;24160;ASV;../fake-data/blob/hipster.txt;2026-02-09T08:03:19
6;amid who;opposite longingly um;23561;BBE;../fake-data/blob/hipster.txt;2026-02-09T17:35:07
7;ugh weakly;hypothesise goodwill consequently;29291;OEB_US;../fake-data/blob/hipster.txt;2026-02-09T00:03:55
8;bin criminal;terrorise hexagon consequently;5929;OEB_US;../fake-data/blob/hipster.txt;2026-02-09T02:00:43
9;among;gym fen;3943;WEBBE;../fake-data/blob/hipster.txt;2026-02-09T03:47:43
10;jubilant;trusting;21361;OEB_CW;../fake-data/blob/hipster.txt;2026-02-09T12:52:00
