id;chave_referencia;livro_id;livro_nome;capitulo;versiculo_inicio;versiculo_fim;versao;cor;criado_em;atualizado_em
1;where even hidden;huzzah ah;ugh heighten;4889;28376;340;ALMEIDA;AMARELO;2026-02-09T03:32:13;2026-02-08T21:19:08
2;distorted;except freckle;consequently optimal;6503;30188;30227;ALMEIDA;VERMELHO;2026-02-09T03:09:22;2026-02-09T12:44:09
3;loosely;preregister psst;unbearably dependable;2752;28950;3592;WEB;ROXO;2026-02-08T23:17:19;2026-02-09T09:13:10
4;when;fen;aftermath for;3988;1753;16345;BBE;AZUL;2026-02-08T18:10:37;2026-02-08T19:54:56
5;including violent;whose wing;stir-fry;9570;30063;7249;OEB_CW;ROXO;2026-02-09T06:24:08;2026-02-08T18:44:38
6;for;birdcage obnoxiously officially;brr but generously;18904;11186;28458;OEB_CW;ROXO;2026-02-09T07:25:28;2026-02-08T22:10:11
7;freely even jaggedly;when;quarrelsome instead anesthetize;7428;8874;19273;OEB_US;ROXO;2026-02-09T11:14:09;2026-02-09T16:10:23
8;moisten;uh-huh unripe magnetize;pfft within yahoo;12792;19116;11705;OEB_US;VERDE;2026-02-09T08:45:12;2026-02-08T22:26:18
9;steel;battle after bonnet;fess yowza;5959;30253;1498;BBE;ROXO;2026-02-09T04:39:28;2026-02-09T06:04:14
10;tank;because;notwithstanding;23308;27574;10936;OEB_CW;AZUL;2026-02-09T04:33:44;2026-02-09T10:37:19
