id;numero_dia;titulo;leituras_json
1;14553;geez joyous soup;../fake-data/blob/hipster.txt
2;22463;certainly;../fake-data/blob/hipster.txt
3;10961;hmph unlike restfully;../fake-data/blob/hipster.txt
4;442;handsome;../fake-data/blob/hipster.txt
5;29185;accept;../fake-data/blob/hipster.txt
6;32438;how pfft;../fake-data/blob/hipster.txt
7;12785;beard;../fake-data/blob/hipster.txt
8;30071;spattering scratch harvest;../fake-data/blob/hipster.txt
9;10920;catalyze;../fake-data/blob/hipster.txt
10;14632;profitable wisely mould;../fake-data/blob/hipster.txt
