id;chave_referencia;livro_id;livro_nome;capitulo;versiculo_inicio;versiculo_fim;versao;criado_em;atualizado_em
1;but dreary;important distinct;across round ad;30276;20112;13102;ASV;2026-02-08T20:32:27;2026-02-09T00:13:41
2;rarely upbeat paralyse;status helpless;yowza consequently;10440;18983;22509;ASV;2026-02-08T19:22:03;2026-02-08T20:36:32
3;huzzah toward;pulverize dutiful;oof;597;29340;12338;YLT;2026-02-08T17:53:22;2026-02-09T16:49:10
4;surprised for;provided including;willfully attraction nifty;16679;22203;22530;YLT;2026-02-09T06:46:12;2026-02-09T07:51:42
5;but times;quixotic carelessly;indeed aching times;21063;31733;7436;WEB;2026-02-09T16:17:51;2026-02-09T12:40:43
6;because tremendously solidly;by after;poorly;8289;10915;1127;WEBBE;2026-02-09T10:53:39;2026-02-09T10:53:29
7;manipulate supposing;while;mentor;22358;11270;25440;KJV;2026-02-08T19:07:26;2026-02-08T21:41:17
8;hasty;showboat before;hotfoot inasmuch when;14436;13102;11043;YLT;2026-02-08T20:46:33;2026-02-08T18:55:00
9;though;hose;drat gah cheap;16441;19515;4132;DRA;2026-02-09T06:55:56;2026-02-09T03:36:54
10;brr whoever;hassle instead indeed;than;26361;25685;27300;WEB;2026-02-09T16:49:26;2026-02-08T23:07:02
