id;livro_id;livro_nome;capitulo;versiculo_inicio;versiculo_fim;versao;lido_em
1;blah near;round yowza;15617;2056;4834;YLT;2026-02-09T07:09:24
2;throughout;design;10261;26822;4798;KJV;2026-02-09T11:35:37
3;instructor loudly woefully;cheerfully duh lounge;5298;23285;14569;ALMEIDA;2026-02-09T04:05:52
4;about burly confute;than;6117;16019;13896;ASV;2026-02-09T15:48:53
5;versus below than;to spirit than;28469;19890;24246;OEB_US;2026-02-09T13:48:27
6;ew who pinion;thoughtfully moment for;11308;9665;28528;OEB_US;2026-02-09T07:35:55
7;nicely instantly;mask;24350;19538;2522;ASV;2026-02-08T23:02:58
8;huzzah;into strong;7289;18663;12481;OEB_US;2026-02-09T04:50:35
9;dissemble collectivization beret;caption pertain;21471;30594;25442;ALMEIDA;2026-02-08T22:29:16
10;nor upon;instead defiantly politely;26223;18733;17050;WEBBE;2026-02-08T19:52:46
