id;chave_referencia;livro_id;livro_nome;capitulo;versiculo_inicio;versiculo_fim;versao;conteudo;criado_em;atualizado_em
1;drat;broadside midst;function through aha;25181;542;16373;ALMEIDA;../fake-data/blob/hipster.txt;2026-02-08T21:10:29;2026-02-09T04:47:10
2;although;towards ack gleaming;pleasing;25688;1119;12576;BBE;../fake-data/blob/hipster.txt;2026-02-09T02:07:29;2026-02-09T11:53:43
3;outfit;since;brook although unbearably;13076;23911;11028;KJV;../fake-data/blob/hipster.txt;2026-02-09T11:35:33;2026-02-09T00:17:38
4;degenerate astride zowie;hmph so that;irk however next;25914;26901;15872;DRA;../fake-data/blob/hipster.txt;2026-02-09T06:35:43;2026-02-09T06:12:01
5;fussy yuck ecstatic;shady;entrench usable um;10314;16045;7065;KJV;../fake-data/blob/hipster.txt;2026-02-09T13:29:26;2026-02-09T14:39:18
6;ack throughout definite;and warmly;helpfully;9845;15424;2661;DRA;../fake-data/blob/hipster.txt;2026-02-08T19:00:09;2026-02-09T07:46:34
7;yuck or valiantly;whose;lest;17605;21143;25193;WEBBE;../fake-data/blob/hipster.txt;2026-02-08T23:58:40;2026-02-09T11:55:43
8;questionably ouch;whole eek;meanwhile;16430;21922;6589;OEB_CW;../fake-data/blob/hipster.txt;2026-02-09T03:05:56;2026-02-09T08:28:08
9;happily;quadruple;unto except;12441;28570;19919;DRA;../fake-data/blob/hipster.txt;2026-02-08T18:41:55;2026-02-09T08:17:06
10;from hollow angrily;boo beside deflect;decongestant devil;19171;17469;4297;OEB_US;../fake-data/blob/hipster.txt;2026-02-08T19:00:13;2026-02-09T07:14:32
