id;nome;descricao;tipo;ativo;criado_em;atualizado_em
1;sympathetically;provided;PRE_DEFINIDO;false;2026-02-08T23:49:47;2026-02-09T00:33:00
2;even;fowl;IGREJA;true;2026-02-09T03:59:53;2026-02-09T15:36:38
3;meanwhile er toward;yowza by how;PERSONALIZADO;true;2026-02-09T16:58:00;2026-02-09T09:37:13
4;oh;mill;PERSONALIZADO;true;2026-02-08T22:13:00;2026-02-08T22:47:52
5;where on;than willfully;PERSONALIZADO;false;2026-02-09T00:45:17;2026-02-09T15:55:10
6;whether yahoo;considering lumpy;PERSONALIZADO;false;2026-02-09T07:31:06;2026-02-09T00:07:32
7;unimpressively usher;bend blah;PERSONALIZADO;true;2026-02-09T07:36:57;2026-02-09T16:45:25
8;modulo now;plus qualified;IGREJA;false;2026-02-09T00:46:51;2026-02-09T16:19:39
9;lively hose for;in-joke beside cruelly;PRE_DEFINIDO;true;2026-02-09T15:09:04;2026-02-09T02:53:08
10;helplessly;shimmering energetic narrate;PERSONALIZADO;false;2026-02-09T01:22:59;2026-02-09T07:42:18
