id;modo;tamanho_fonte;tema;mostrar_destaques;mostrar_notas;mostrar_favoritos;criado_em;atualizado_em
1;ESTUDO;MEDIA;CLARO;false;true;false;2026-02-08T19:37:02;2026-02-09T14:47:11
2;LEITURA;PEQUENA;SISTEMA;true;false;true;2026-02-09T00:10:31;2026-02-09T06:19:29
3;ESTUDO;PEQUENA;CLARO;false;false;false;2026-02-09T05:01:39;2026-02-09T04:18:27
4;ESTUDO;MEDIA;SISTEMA;false;false;false;2026-02-09T05:05:12;2026-02-09T05:16:28
5;LEITURA;EXTRA_GRANDE;CLARO;false;true;false;2026-02-08T19:03:37;2026-02-09T07:59:39
6;LEITURA;EXTRA_GRANDE;ESCURO;false;false;false;2026-02-09T15:48:41;2026-02-09T01:04:39
7;LEITURA;MEDIA;ESCURO;true;false;true;2026-02-09T17:34:06;2026-02-09T10:15:45
8;ESTUDO;GRANDE;SISTEMA;false;true;true;2026-02-09T10:59:46;2026-02-08T19:45:12
9;LEITURA;GRANDE;ESCURO;true;true;false;2026-02-08T23:18:14;2026-02-09T15:48:34
10;ESTUDO;MEDIA;CLARO;false;true;true;2026-02-09T15:11:02;2026-02-08T22:53:11
