id;data;concluido;concluido_em;criado_em;atualizado_em
1;2026-02-09;true;2026-02-09T01:08:03;2026-02-09T05:40:08;2026-02-09T14:24:38
2;2026-02-09;false;2026-02-09T00:36:12;2026-02-08T23:14:45;2026-02-09T13:42:14
3;2026-02-08;false;2026-02-09T12:05:28;2026-02-09T03:49:06;2026-02-09T11:24:58
4;2026-02-08;false;2026-02-09T03:29:28;2026-02-09T16:59:21;2026-02-08T18:45:51
5;2026-02-09;true;2026-02-09T00:33:16;2026-02-08T20:51:13;2026-02-09T04:09:18
6;2026-02-09;true;2026-02-08T21:24:30;2026-02-09T07:45:37;2026-02-09T01:46:47
7;2026-02-08;true;2026-02-09T03:17:45;2026-02-09T14:25:47;2026-02-08T22:55:34
8;2026-02-09;true;2026-02-09T12:05:50;2026-02-09T08:44:10;2026-02-09T07:46:56
9;2026-02-09;false;2026-02-09T14:41:19;2026-02-09T08:38:22;2026-02-08T22:59:08
10;2026-02-09;true;2026-02-08T20:46:52;2026-02-09T14:40:29;2026-02-09T14:16:52
